"Date","Time","Open","High","Low","Close","Up","Down"
01/03/2000,07:00,148.25,148.25,146.47,146.63,983700,0
01/03/2000,07:30,146.63,147.25,146.56,146.97,673000,0
01/03/2000,08:00,146.97,146.97,144.41,144.84,784100,0
01/03/2000,08:30,144.69,144.69,143.88,144.50,777200,0
01/03/2000,09:00,144.47,144.91,144.34,144.75,156300,0
01/03/2000,09:30,144.69,144.94,144.16,144.45,455000,0
01/03/2000,10:00,144.48,144.69,144.06,144.53,185000,0
01/03/2000,10:30,144.56,144.84,144.19,144.63,922100,0
01/03/2000,11:00,144.69,145.16,144.53,144.88,367300,0
01/03/2000,11:30,144.81,145.11,144.25,144.44,341000,0
01/03/2000,12:00,144.59,144.97,144.34,144.78,204800,0
01/03/2000,12:30,144.66,145.06,144.59,144.88,697600,0
01/03/2000,13:00,144.81,145.56,144.78,145.48,1061800,0
01/04/2000,07:00,143.53,144.06,143.22,143.66,757500,0
01/04/2000,07:30,143.69,143.88,143.28,143.50,712400,0
01/04/2000,08:00,143.63,143.86,143.06,143.38,695800,0
01/04/2000,08:30,143.50,143.63,142.66,143.00,363700,0
01/04/2000,09:00,143.00,143.25,142.88,143.00,227500,0
01/04/2000,09:30,142.88,143.03,142.25,142.47,476700,0
01/04/2000,10:00,142.63,142.72,141.69,141.75,457600,0
01/04/2000,10:30,141.72,141.88,140.66,141.50,1230600,0
01/04/2000,11:00,141.53,141.88,141.34,141.47,429300,0
01/04/2000,11:30,141.41,141.88,141.00,141.19,467600,0
01/04/2000,12:00,141.06,141.81,140.78,141.03,365300,0
01/04/2000,12:30,141.09,141.09,140.16,140.59,902500,0
01/04/2000,13:00,140.59,141.03,139.64,139.94,589400,0
01/05/2000,07:00,139.94,140.34,138.38,138.56,1473900,0
01/05/2000,07:30,138.00,139.63,137.25,139.63,1372800,0
01/05/2000,08:00,139.69,139.88,138.81,139.31,563200,0
01/05/2000,08:30,139.22,140.63,139.22,139.81,770500,0
01/05/2000,09:00,140.00,140.13,139.44,139.69,824100,0
01/05/2000,09:30,139.75,139.88,139.25,139.44,1227100,0
01/05/2000,10:00,139.34,139.56,139.09,139.31,372300,0
01/05/2000,10:30,139.31,140.13,139.31,139.75,377600,0
01/05/2000,11:00,139.88,140.53,139.72,140.33,465700,0
01/05/2000,11:30,140.50,140.94,140.00,140.78,1018600,0
01/05/2000,12:00,140.75,141.19,140.44,140.66,1202500,0
01/05/2000,12:30,140.53,141.53,140.00,141.28,398900,0
01/05/2000,13:00,141.22,141.25,140.22,140.22,1190600,0
01/06/2000,07:00,139.63,140.50,139.63,139.72,1263700,0
01/06/2000,07:30,139.63,140.31,139.25,139.53,611000,0
01/06/2000,08:00,139.69,140.63,139.66,140.22,147100,0
01/06/2000,08:30,140.31,140.69,140.03,140.23,192500,0
01/06/2000,09:00,140.13,140.50,140.00,140.36,161800,0
01/06/2000,09:30,140.38,140.84,140.19,140.77,205500,0
01/06/2000,10:00,140.75,141.09,140.59,141.09,121500,0
01/06/2000,10:30,141.25,141.41,140.81,141.00,226100,0
01/06/2000,11:00,140.06,141.28,140.00,141.28,236500,0
01/06/2000,11:30,141.19,141.38,141.00,141.38,164300,0
01/06/2000,12:00,141.50,141.50,140.59,140.88,357300,0
01/06/2000,12:30,140.94,141.14,139.59,140.31,1077300,0
01/06/2000,13:00,140.38,141.19,140.06,140.50,319200,0
01/07/2000,07:00,140.31,141.41,140.06,141.09,1131900,0
01/07/2000,07:30,141.06,142.47,141.00,142.38,1351700,0
01/07/2000,08:00,142.28,142.53,141.91,142.41,619400,0
01/07/2000,08:30,142.25,142.34,141.81,142.13,739700,0
01/07/2000,09:00,142.06,142.19,141.66,141.88,114700,0
01/07/2000,09:30,142.00,142.19,141.13,141.88,345200,0
01/07/2000,10:00,142.00,142.13,141.63,141.75,85600,0
01/07/2000,10:30,141.67,142.70,141.59,142.50,399200,0
01/07/2000,11:00,142.50,142.80,142.13,142.30,401400,0
01/07/2000,11:30,142.19,142.72,142.13,142.72,79500,0
01/07/2000,12:00,142.72,143.13,142.00,143.00,521000,0
01/07/2000,12:30,142.94,143.75,142.81,143.56,675400,0
