cpdate,datestr2,cp
730488.291666667,2000-01-03 07:00,146.63
730488.3125,2000-01-03 07:30,146.97
730488.333333333,2000-01-03 08:00,144.84
730488.354166667,2000-01-03 08:30,144.5
730488.375,2000-01-03 09:00,144.75
730488.395833333,2000-01-03 09:30,144.45
730488.416666667,2000-01-03 10:00,144.53
730488.4375,2000-01-03 10:30,144.63
730488.458333333,2000-01-03 11:00,144.88
730488.479166667,2000-01-03 11:30,144.44
730488.5,2000-01-03 12:00,144.78
730488.520833333,2000-01-03 12:30,144.88
730488.541666667,2000-01-03 13:00,145.48
730489.291666667,2000-01-04 07:00,143.66
730489.3125,2000-01-04 07:30,143.5
730489.333333333,2000-01-04 08:00,143.38
730489.354166667,2000-01-04 08:30,143
730489.375,2000-01-04 09:00,143
730489.395833333,2000-01-04 09:30,142.47
730489.416666667,2000-01-04 10:00,141.75
730489.4375,2000-01-04 10:30,141.5
730489.458333333,2000-01-04 11:00,141.47
730489.479166667,2000-01-04 11:30,141.19
730489.5,2000-01-04 12:00,141.03
730489.520833333,2000-01-04 12:30,140.59
730489.541666667,2000-01-04 13:00,139.94
730490.291666667,2000-01-05 07:00,138.56
730490.3125,2000-01-05 07:30,139.63
730490.333333333,2000-01-05 08:00,139.31
730490.354166667,2000-01-05 08:30,139.81
730490.375,2000-01-05 09:00,139.69
730490.395833333,2000-01-05 09:30,139.44
730490.416666667,2000-01-05 10:00,139.31
730490.4375,2000-01-05 10:30,139.75
730490.458333333,2000-01-05 11:00,140.33
730490.479166667,2000-01-05 11:30,140.78
730490.5,2000-01-05 12:00,140.66
730490.520833333,2000-01-05 12:30,141.28
730490.541666667,2000-01-05 13:00,140.22
730491.291666667,2000-01-06 07:00,139.72
730491.3125,2000-01-06 07:30,139.53
730491.333333333,2000-01-06 08:00,140.22
730491.354166667,2000-01-06 08:30,140.23
730491.375,2000-01-06 09:00,140.36
730491.395833333,2000-01-06 09:30,140.77
730491.416666667,2000-01-06 10:00,141.09
730491.4375,2000-01-06 10:30,141
730491.458333333,2000-01-06 11:00,141.28
730491.479166667,2000-01-06 11:30,141.38
730491.5,2000-01-06 12:00,140.88
730491.520833333,2000-01-06 12:30,140.31
730491.541666667,2000-01-06 13:00,140.5
730492.291666667,2000-01-07 07:00,141.09
730492.3125,2000-01-07 07:30,142.38
730492.333333333,2000-01-07 08:00,142.41
730492.354166667,2000-01-07 08:30,142.13
730492.375,2000-01-07 09:00,141.88
730492.395833333,2000-01-07 09:30,141.88
730492.416666667,2000-01-07 10:00,141.75
730492.4375,2000-01-07 10:30,142.5
730492.458333333,2000-01-07 11:00,142.3
730492.479166667,2000-01-07 11:30,142.72
730492.5,2000-01-07 12:00,143
730492.520833333,2000-01-07 12:30,143.56
730492.541666667,2000-01-07 13:00,144.34
730495.291666667,2000-01-10 07:00,146.5
730495.3125,2000-01-10 07:30,146.13
730495.333333333,2000-01-10 08:00,145.38
730495.354166667,2000-01-10 08:30,145.38
730495.375,2000-01-10 09:00,145.94
730495.395833333,2000-01-10 09:30,145.72
730495.416666667,2000-01-10 10:00,145.81
730495.4375,2000-01-10 10:30,145.69
730495.458333333,2000-01-10 11:00,145.47
730495.479166667,2000-01-10 11:30,145.75
730495.5,2000-01-10 12:00,146.22
730495.520833333,2000-01-10 12:30,146.59
730495.541666667,2000-01-10 13:00,145.81
730496.291666667,2000-01-11 07:00,145.97
730496.3125,2000-01-11 07:30,145.47
730496.333333333,2000-01-11 08:00,145.88
730496.354166667,2000-01-11 08:30,145.69
730496.375,2000-01-11 09:00,145.34
730496.395833333,2000-01-11 09:30,145.47
730496.416666667,2000-01-11 10:00,145
730496.4375,2000-01-11 10:30,145.25
730496.458333333,2000-01-11 11:00,145.34
730496.479166667,2000-01-11 11:30,145.13
730496.5,2000-01-11 12:00,144.5
730496.520833333,2000-01-11 12:30,144.22
730496.541666667,2000-01-11 13:00,144
730497.291666667,2000-01-12 07:00,143.5
730497.3125,2000-01-12 07:30,143
730497.333333333,2000-01-12 08:00,144.02
730497.354166667,2000-01-12 08:30,144
730497.375,2000-01-12 09:00,144.5
730497.395833333,2000-01-12 09:30,143.77
730497.416666667,2000-01-12 10:00,143.75
730497.4375,2000-01-12 10:30,144.16
730497.458333333,2000-01-12 11:00,143.94
730497.479166667,2000-01-12 11:30,143.88
730497.5,2000-01-12 12:00,143.47
730497.520833333,2000-01-12 12:30,143.28
730497.541666667,2000-01-12 13:00,143.34
730498.291666667,2000-01-13 07:00,143.94
730498.3125,2000-01-13 07:30,143.75
730498.333333333,2000-01-13 08:00,143.88
730498.354166667,2000-01-13 08:30,144.09
730498.375,2000-01-13 09:00,143.94
730498.395833333,2000-01-13 09:30,143.97
730498.416666667,2000-01-13 10:00,143
730498.4375,2000-01-13 10:30,144.16
730498.458333333,2000-01-13 11:00,144.78
730498.479166667,2000-01-13 11:30,145.25
730498.5,2000-01-13 12:00,145.03
730498.520833333,2000-01-13 12:30,145.42
730498.541666667,2000-01-13 13:00,145
730499.291666667,2000-01-14 07:00,147.25
730499.3125,2000-01-14 07:30,147.19
730499.333333333,2000-01-14 08:00,147.27
730499.354166667,2000-01-14 08:30,147.13
730499.375,2000-01-14 09:00,147.09
730499.395833333,2000-01-14 09:30,146.25
730499.416666667,2000-01-14 10:00,146.5
730499.4375,2000-01-14 10:30,146.88
730499.458333333,2000-01-14 11:00,146.78
730499.479166667,2000-01-14 11:30,146.81
730499.5,2000-01-14 12:00,146.31
730499.520833333,2000-01-14 12:30,146.56
730499.541666667,2000-01-14 13:00,146.56
730503.291666667,2000-01-18 07:00,145.94
730503.3125,2000-01-18 07:30,146
730503.333333333,2000-01-18 08:00,145.63
730503.354166667,2000-01-18 08:30,145.64
730503.375,2000-01-18 09:00,145.56
730503.395833333,2000-01-18 09:30,145.91
730503.416666667,2000-01-18 10:00,145.75
730503.4375,2000-01-18 10:30,146
730503.458333333,2000-01-18 11:00,145.75
730503.479166667,2000-01-18 11:30,146.28
730503.5,2000-01-18 12:00,146.03
730503.520833333,2000-01-18 12:30,146.19
730503.541666667,2000-01-18 13:00,145.63
730504.291666667,2000-01-19 07:00,145.56
730504.3125,2000-01-19 07:30,146.16
730504.333333333,2000-01-19 08:00,146.06
730504.354166667,2000-01-19 08:30,146
730504.375,2000-01-19 09:00,145.81
730504.395833333,2000-01-19 09:30,146.13
730504.416666667,2000-01-19 10:00,146.03
730504.4375,2000-01-19 10:30,146
730504.458333333,2000-01-19 11:00,146.27
730504.479166667,2000-01-19 11:30,146
730504.5,2000-01-19 12:00,146.06
730504.520833333,2000-01-19 12:30,145.66
730504.541666667,2000-01-19 13:00,145.75
730505.291666667,2000-01-20 07:00,146.53
730505.3125,2000-01-20 07:30,146.28
730505.333333333,2000-01-20 08:00,146.31
730505.354166667,2000-01-20 08:30,146.25
730505.375,2000-01-20 09:00,145.38
730505.395833333,2000-01-20 09:30,145
730505.416666667,2000-01-20 10:00,144.5
730505.4375,2000-01-20 10:30,144.75
730505.458333333,2000-01-20 11:00,144.84
730505.479166667,2000-01-20 11:30,144.97
730505.5,2000-01-20 12:00,144.69
730505.520833333,2000-01-20 12:30,145
730505.541666667,2000-01-20 13:00,144.5
730506.291666667,2000-01-21 07:00,145.19
730506.3125,2000-01-21 07:30,144.44
730506.333333333,2000-01-21 08:00,144.75
730506.354166667,2000-01-21 08:30,144.69
730506.375,2000-01-21 09:00,144.28
730506.395833333,2000-01-21 09:30,144.66
730506.416666667,2000-01-21 10:00,144.63
730506.4375,2000-01-21 10:30,144.81
730506.458333333,2000-01-21 11:00,144.81
730506.479166667,2000-01-21 11:30,144.63
730506.5,2000-01-21 12:00,144.44
730506.520833333,2000-01-21 12:30,144.56
730506.541666667,2000-01-21 13:00,144.13
730509.291666667,2000-01-24 07:00,145
730509.3125,2000-01-24 07:30,144.22
730509.333333333,2000-01-24 08:00,143.67
730509.354166667,2000-01-24 08:30,143.47
730509.375,2000-01-24 09:00,143.72
730509.395833333,2000-01-24 09:30,143.83
730509.416666667,2000-01-24 10:00,143.78
730509.4375,2000-01-24 10:30,143.5
730509.458333333,2000-01-24 11:00,142.75
730509.479166667,2000-01-24 11:30,141.75
730509.5,2000-01-24 12:00,141.02
730509.520833333,2000-01-24 12:30,139.94
730509.541666667,2000-01-24 13:00,140.09
730510.291666667,2000-01-25 07:00,140.63
730510.3125,2000-01-25 07:30,141
730510.333333333,2000-01-25 08:00,140.69
730510.354166667,2000-01-25 08:30,140.88
730510.375,2000-01-25 09:00,140.56
730510.395833333,2000-01-25 09:30,140.19
730510.416666667,2000-01-25 10:00,139.94
730510.4375,2000-01-25 10:30,139.75
730510.458333333,2000-01-25 11:00,139.25
730510.479166667,2000-01-25 11:30,139.34
730510.5,2000-01-25 12:00,140.19
730510.520833333,2000-01-25 12:30,140.84
730510.541666667,2000-01-25 13:00,141.13
730511.291666667,2000-01-26 07:00,141.38
730511.3125,2000-01-26 07:30,141.25
730511.333333333,2000-01-26 08:00,140.78
730511.354166667,2000-01-26 08:30,140.63
730511.375,2000-01-26 09:00,140.69
730511.395833333,2000-01-26 09:30,140.63
730511.416666667,2000-01-26 10:00,140.75
730511.4375,2000-01-26 10:30,141.06
730511.458333333,2000-01-26 11:00,140.91
730511.479166667,2000-01-26 11:30,141.31
730511.5,2000-01-26 12:00,140.88
730511.520833333,2000-01-26 12:30,140.41
730511.541666667,2000-01-26 13:00,140.66
730512.291666667,2000-01-27 07:00,141.44
730512.3125,2000-01-27 07:30,141.75
730512.333333333,2000-01-27 08:00,141.81
730512.354166667,2000-01-27 08:30,141.38
730512.375,2000-01-27 09:00,141
730512.395833333,2000-01-27 09:30,140.7
730512.416666667,2000-01-27 10:00,139.69
730512.4375,2000-01-27 10:30,140.34
730512.458333333,2000-01-27 11:00,140.31
730512.479166667,2000-01-27 11:30,140.25
730512.5,2000-01-27 12:00,138.72
730512.520833333,2000-01-27 12:30,138.94
730512.541666667,2000-01-27 13:00,140.13
730513.291666667,2000-01-28 07:00,139.63
730513.3125,2000-01-28 07:30,139.63
730513.333333333,2000-01-28 08:00,138.75
730513.354166667,2000-01-28 08:30,138.58
730513.375,2000-01-28 09:00,138
730513.395833333,2000-01-28 09:30,137.5
730513.416666667,2000-01-28 10:00,137.13
730513.4375,2000-01-28 10:30,137.5
730513.458333333,2000-01-28 11:00,138.25
730513.479166667,2000-01-28 11:30,137.5
730513.5,2000-01-28 12:00,137.36
730513.520833333,2000-01-28 12:30,136.69
730513.541666667,2000-01-28 13:00,136.31
730516.291666667,2000-01-31 07:00,136.22
730516.3125,2000-01-31 07:30,136.19
730516.333333333,2000-01-31 08:00,135.5
730516.354166667,2000-01-31 08:30,135.63
730516.375,2000-01-31 09:00,135.31
730516.395833333,2000-01-31 09:30,136
730516.416666667,2000-01-31 10:00,136.38
730516.4375,2000-01-31 10:30,136.31
730516.458333333,2000-01-31 11:00,136.31
730516.479166667,2000-01-31 11:30,136.84
730516.5,2000-01-31 12:00,137.75
730516.520833333,2000-01-31 12:30,138.5
730516.541666667,2000-01-31 13:00,139.41
730517.291666667,2000-02-01 07:00,139.38
730517.3125,2000-02-01 07:30,138.94
730517.333333333,2000-02-01 08:00,139.5
730517.354166667,2000-02-01 08:30,139.86
730517.375,2000-02-01 09:00,139.41
730517.395833333,2000-02-01 09:30,140.19
730517.416666667,2000-02-01 10:00,140.34
730517.4375,2000-02-01 10:30,140.39
730517.458333333,2000-02-01 11:00,140
730517.479166667,2000-02-01 11:30,140.34
730517.5,2000-02-01 12:00,140.25
730517.520833333,2000-02-01 12:30,140.75
730517.541666667,2000-02-01 13:00,140.94
730518.291666667,2000-02-02 07:00,141.19
730518.3125,2000-02-02 07:30,140.88
730518.333333333,2000-02-02 08:00,141.42
730518.354166667,2000-02-02 08:30,141.5
730518.375,2000-02-02 09:00,141.63
730518.395833333,2000-02-02 09:30,141.38
730518.416666667,2000-02-02 10:00,141.31
730518.4375,2000-02-02 10:30,141.38
730518.458333333,2000-02-02 11:00,141.56
730518.479166667,2000-02-02 11:30,141.19
730518.5,2000-02-02 12:00,142
730518.520833333,2000-02-02 12:30,142.11
730518.541666667,2000-02-02 13:00,141.3
730519.291666667,2000-02-03 07:00,142.13
730519.3125,2000-02-03 07:30,141.75
730519.333333333,2000-02-03 08:00,142.13
730519.354166667,2000-02-03 08:30,141.69
730519.375,2000-02-03 09:00,141.09
730519.395833333,2000-02-03 09:30,140.14
730519.416666667,2000-02-03 10:00,141.53
730519.4375,2000-02-03 10:30,141.75
730519.458333333,2000-02-03 11:00,141.97
730519.479166667,2000-02-03 11:30,142.06
730519.5,2000-02-03 12:00,142.63
730519.520833333,2000-02-03 12:30,142.28
730519.541666667,2000-02-03 13:00,142.75
730520.291666667,2000-02-04 07:00,143.91
730520.3125,2000-02-04 07:30,143.13
730520.333333333,2000-02-04 08:00,143.34
730520.354166667,2000-02-04 08:30,143.03
730520.375,2000-02-04 09:00,143.25
730520.395833333,2000-02-04 09:30,143.13
730520.416666667,2000-02-04 10:00,143.5
730520.4375,2000-02-04 10:30,143.63
730520.458333333,2000-02-04 11:00,143.25
730520.479166667,2000-02-04 11:30,143.5
730520.5,2000-02-04 12:00,143.61
730520.520833333,2000-02-04 12:30,142.47
730520.541666667,2000-02-04 13:00,142.69
730523.291666667,2000-02-07 07:00,142
730523.3125,2000-02-07 07:30,142.47
730523.333333333,2000-02-07 08:00,141.94
730523.354166667,2000-02-07 08:30,142.38
730523.375,2000-02-07 09:00,142.22
730523.395833333,2000-02-07 09:30,141.75
730523.416666667,2000-02-07 10:00,141.88
730523.4375,2000-02-07 10:30,141.97
730523.458333333,2000-02-07 11:00,141.88
730523.479166667,2000-02-07 11:30,141.63
730523.5,2000-02-07 12:00,141.97
730523.520833333,2000-02-07 12:30,142.31
730523.541666667,2000-02-07 13:00,142.72
730524.291666667,2000-02-08 07:00,144.25
730524.3125,2000-02-08 07:30,144.39
730524.333333333,2000-02-08 08:00,144
730524.354166667,2000-02-08 08:30,144.19
730524.375,2000-02-08 09:00,143.94
730524.395833333,2000-02-08 09:30,143.83
730524.416666667,2000-02-08 10:00,143.8
730524.4375,2000-02-08 10:30,144
730524.458333333,2000-02-08 11:00,144
730524.479166667,2000-02-08 11:30,144.2
730524.5,2000-02-08 12:00,144.25
730524.520833333,2000-02-08 12:30,144
730524.541666667,2000-02-08 13:00,144.31
730525.291666667,2000-02-09 07:00,143.75
730525.3125,2000-02-09 07:30,144.06
730525.333333333,2000-02-09 08:00,143.94
730525.354166667,2000-02-09 08:30,143.69
730525.375,2000-02-09 09:00,143
730525.395833333,2000-02-09 09:30,142.88
730525.416666667,2000-02-09 10:00,142.53
730525.4375,2000-02-09 10:30,142.52
730525.458333333,2000-02-09 11:00,142.31
730525.479166667,2000-02-09 11:30,142.88
730525.5,2000-02-09 12:00,142
730525.520833333,2000-02-09 12:30,142.06
730525.541666667,2000-02-09 13:00,141.5
730526.291666667,2000-02-10 07:00,141.28
730526.3125,2000-02-10 07:30,141.84
730526.333333333,2000-02-10 08:00,141.19
730526.354166667,2000-02-10 08:30,141.75
730526.375,2000-02-10 09:00,141.81
730526.395833333,2000-02-10 09:30,142.19
730526.416666667,2000-02-10 10:00,142.28
730526.4375,2000-02-10 10:30,142.06
730526.458333333,2000-02-10 11:00,141.92
730526.479166667,2000-02-10 11:30,141.5
730526.5,2000-02-10 12:00,141.25
730526.520833333,2000-02-10 12:30,141.13
730526.541666667,2000-02-10 13:00,141.91
730527.291666667,2000-02-11 07:00,141.19
730527.3125,2000-02-11 07:30,140.56
730527.333333333,2000-02-11 08:00,140.72
730527.354166667,2000-02-11 08:30,140.75
730527.375,2000-02-11 09:00,140.88
730527.395833333,2000-02-11 09:30,140.91
730527.416666667,2000-02-11 10:00,140.73
730527.4375,2000-02-11 10:30,140.69
730527.458333333,2000-02-11 11:00,140.28
730527.479166667,2000-02-11 11:30,139.75
730527.5,2000-02-11 12:00,139.44
730527.520833333,2000-02-11 12:30,138.69
730527.541666667,2000-02-11 13:00,139.19
730530.291666667,2000-02-14 07:00,138.94
730530.3125,2000-02-14 07:30,138.52
730530.333333333,2000-02-14 08:00,139.19
730530.354166667,2000-02-14 08:30,139.59
730530.375,2000-02-14 09:00,139.56
730530.395833333,2000-02-14 09:30,139
730530.416666667,2000-02-14 10:00,138.89
730530.4375,2000-02-14 10:30,138.56
730530.458333333,2000-02-14 11:00,138.78
730530.479166667,2000-02-14 11:30,138.81
730530.5,2000-02-14 12:00,138.63
730530.520833333,2000-02-14 12:30,139.13
730530.541666667,2000-02-14 13:00,139.25
730531.291666667,2000-02-15 07:00,139.13
730531.3125,2000-02-15 07:30,138.72
730531.333333333,2000-02-15 08:00,139
730531.354166667,2000-02-15 08:30,137.89
730531.375,2000-02-15 09:00,138.5
730531.395833333,2000-02-15 09:30,138.63
730531.416666667,2000-02-15 10:00,138.91
730531.4375,2000-02-15 10:30,139.22
730531.458333333,2000-02-15 11:00,138.94
730531.479166667,2000-02-15 11:30,139.72
730531.5,2000-02-15 12:00,140.47
730531.520833333,2000-02-15 12:30,140.84
730531.541666667,2000-02-15 13:00,140.56
730532.291666667,2000-02-16 07:00,140.75
730532.3125,2000-02-16 07:30,140.38
730532.333333333,2000-02-16 08:00,140.22
730532.354166667,2000-02-16 08:30,140.28
730532.375,2000-02-16 09:00,139.81
730532.395833333,2000-02-16 09:30,139.75
730532.416666667,2000-02-16 10:00,139.38
730532.4375,2000-02-16 10:30,139.38
730532.458333333,2000-02-16 11:00,139.75
730532.479166667,2000-02-16 11:30,139.5
730532.5,2000-02-16 12:00,139.69
730532.520833333,2000-02-16 12:30,139.5
730532.541666667,2000-02-16 13:00,139.25
730533.291666667,2000-02-17 07:00,139.94
730533.3125,2000-02-17 07:30,139.38
730533.333333333,2000-02-17 08:00,138.97
730533.354166667,2000-02-17 08:30,139
730533.375,2000-02-17 09:00,138.38
730533.395833333,2000-02-17 09:30,138.97
730533.416666667,2000-02-17 10:00,139.03
730533.4375,2000-02-17 10:30,139.47
730533.458333333,2000-02-17 11:00,139.56
730533.479166667,2000-02-17 11:30,139.25
730533.5,2000-02-17 12:00,139
730533.520833333,2000-02-17 12:30,138.63
730533.541666667,2000-02-17 13:00,139.06
730534.291666667,2000-02-18 07:00,138.06
730534.3125,2000-02-18 07:30,137.5
730534.333333333,2000-02-18 08:00,137.94
730534.354166667,2000-02-18 08:30,137.89
730534.375,2000-02-18 09:00,137.59
730534.395833333,2000-02-18 09:30,137.06
730534.416666667,2000-02-18 10:00,137.06
730534.4375,2000-02-18 10:30,136.5
730534.458333333,2000-02-18 11:00,136.19
730534.479166667,2000-02-18 11:30,136.06
730534.5,2000-02-18 12:00,135.66
730534.520833333,2000-02-18 12:30,135.47
730534.541666667,2000-02-18 13:00,135.06
730538.291666667,2000-02-22 07:00,135.09
730538.3125,2000-02-22 07:30,134.28
730538.333333333,2000-02-22 08:00,133.94
730538.354166667,2000-02-22 08:30,134.06
730538.375,2000-02-22 09:00,134.56
730538.395833333,2000-02-22 09:30,134
730538.416666667,2000-02-22 10:00,134.02
730538.4375,2000-02-22 10:30,134.47
730538.458333333,2000-02-22 11:00,134.41
730538.479166667,2000-02-22 11:30,133.75
730538.5,2000-02-22 12:00,134.66
730538.520833333,2000-02-22 12:30,136.22
730538.541666667,2000-02-22 13:00,135.42
730539.291666667,2000-02-23 07:00,135.05
730539.3125,2000-02-23 07:30,135.31
730539.333333333,2000-02-23 08:00,135.06
730539.354166667,2000-02-23 08:30,134.63
730539.375,2000-02-23 09:00,135.41
730539.395833333,2000-02-23 09:30,135.44
730539.416666667,2000-02-23 10:00,135.59
730539.4375,2000-02-23 10:30,135.69
730539.458333333,2000-02-23 11:00,136.56
730539.479166667,2000-02-23 11:30,136.59
730539.5,2000-02-23 12:00,136.63
730539.520833333,2000-02-23 12:30,137.38
730539.541666667,2000-02-23 13:00,136.63
730540.291666667,2000-02-24 07:00,135.88
730540.3125,2000-02-24 07:30,135.44
730540.333333333,2000-02-24 08:00,134
730540.354166667,2000-02-24 08:30,134
730540.375,2000-02-24 09:00,134.5
730540.395833333,2000-02-24 09:30,134.27
730540.416666667,2000-02-24 10:00,134.06
730540.4375,2000-02-24 10:30,134.41
730540.458333333,2000-02-24 11:00,134
730540.479166667,2000-02-24 11:30,133.94
730540.5,2000-02-24 12:00,134.23
730540.520833333,2000-02-24 12:30,135.94
730540.541666667,2000-02-24 13:00,135.5
730541.291666667,2000-02-25 07:00,135.94
730541.3125,2000-02-25 07:30,136.03
730541.333333333,2000-02-25 08:00,135.38
730541.354166667,2000-02-25 08:30,135.44
730541.375,2000-02-25 09:00,134.81
730541.395833333,2000-02-25 09:30,135.31
730541.416666667,2000-02-25 10:00,135.06
730541.4375,2000-02-25 10:30,134.63
730541.458333333,2000-02-25 11:00,133.94
730541.479166667,2000-02-25 11:30,134.13
730541.5,2000-02-25 12:00,134.38
730541.520833333,2000-02-25 12:30,134
730541.541666667,2000-02-25 13:00,133.72
730544.291666667,2000-02-28 07:00,133.44
730544.3125,2000-02-28 07:30,133.84
730544.333333333,2000-02-28 08:00,134.91
730544.354166667,2000-02-28 08:30,134.47
730544.375,2000-02-28 09:00,133.56
730544.395833333,2000-02-28 09:30,133.59
730544.416666667,2000-02-28 10:00,133.94
730544.4375,2000-02-28 10:30,134.28
730544.458333333,2000-02-28 11:00,134.66
730544.479166667,2000-02-28 11:30,135.19
730544.5,2000-02-28 12:00,136.25
730544.520833333,2000-02-28 12:30,135.84
730544.541666667,2000-02-28 13:00,135.06
730545.291666667,2000-02-29 07:00,136.63
730545.3125,2000-02-29 07:30,136.13
730545.333333333,2000-02-29 08:00,136.19
730545.354166667,2000-02-29 08:30,136
730545.375,2000-02-29 09:00,136.19
730545.395833333,2000-02-29 09:30,136.44
730545.416666667,2000-02-29 10:00,136.52
730545.4375,2000-02-29 10:30,136.75
730545.458333333,2000-02-29 11:00,136.78
730545.479166667,2000-02-29 11:30,136.16
730545.5,2000-02-29 12:00,136.94
730545.520833333,2000-02-29 12:30,137.02
730545.541666667,2000-02-29 13:00,136.91
730546.291666667,2000-03-01 07:00,138.06
730546.3125,2000-03-01 07:30,137.94
730546.333333333,2000-03-01 08:00,137.63
730546.354166667,2000-03-01 08:30,138.19
730546.375,2000-03-01 09:00,137.81
730546.395833333,2000-03-01 09:30,138.25
730546.416666667,2000-03-01 10:00,138.13
730546.4375,2000-03-01 10:30,137.89
730546.458333333,2000-03-01 11:00,137.5
730546.479166667,2000-03-01 11:30,137.81
730546.5,2000-03-01 12:00,137.63
730546.520833333,2000-03-01 12:30,138.5
730546.541666667,2000-03-01 13:00,138.13
730547.291666667,2000-03-02 07:00,137.97
730547.3125,2000-03-02 07:30,138.25
730547.333333333,2000-03-02 08:00,138.63
730547.354166667,2000-03-02 08:30,138.94
730547.375,2000-03-02 09:00,138.53
730547.395833333,2000-03-02 09:30,138.34
730547.416666667,2000-03-02 10:00,137.8
730547.4375,2000-03-02 10:30,138
730547.458333333,2000-03-02 11:00,137.88
730547.479166667,2000-03-02 11:30,138.45
730547.5,2000-03-02 12:00,138.44
730547.520833333,2000-03-02 12:30,138.94
730547.541666667,2000-03-02 13:00,138.72
730548.291666667,2000-03-03 07:00,140.27
730548.3125,2000-03-03 07:30,140.27
730548.333333333,2000-03-03 08:00,140.38
730548.354166667,2000-03-03 08:30,140.69
730548.375,2000-03-03 09:00,141.13
730548.395833333,2000-03-03 09:30,141.38
730548.416666667,2000-03-03 10:00,141.22
730548.4375,2000-03-03 10:30,141.19
730548.458333333,2000-03-03 11:00,141.17
730548.479166667,2000-03-03 11:30,141.13
730548.5,2000-03-03 12:00,141.06
730548.520833333,2000-03-03 12:30,141.19
730548.541666667,2000-03-03 13:00,141.31
730551.291666667,2000-03-06 07:00,140.86
730551.3125,2000-03-06 07:30,140.84
730551.333333333,2000-03-06 08:00,140.97
730551.354166667,2000-03-06 08:30,141.13
730551.375,2000-03-06 09:00,140.91
730551.395833333,2000-03-06 09:30,140.31
730551.416666667,2000-03-06 10:00,140.38
730551.4375,2000-03-06 10:30,140.44
730551.458333333,2000-03-06 11:00,140.34
730551.479166667,2000-03-06 11:30,140.14
730551.5,2000-03-06 12:00,139.94
730551.520833333,2000-03-06 12:30,139.5
730551.541666667,2000-03-06 13:00,139.39
730552.291666667,2000-03-07 07:00,138.88
730552.3125,2000-03-07 07:30,137.66
730552.333333333,2000-03-07 08:00,137.81
730552.354166667,2000-03-07 08:30,138.5
730552.375,2000-03-07 09:00,138.75
730552.395833333,2000-03-07 09:30,138.06
730552.416666667,2000-03-07 10:00,138
730552.4375,2000-03-07 10:30,137.44
730552.458333333,2000-03-07 11:00,137.13
730552.479166667,2000-03-07 11:30,138.05
730552.5,2000-03-07 12:00,137.56
730552.520833333,2000-03-07 12:30,136.33
