ydate,cp,upprob,pctg,ydatestr
735236,146.06,0.40727014946385,-0.0479255100643524,2013-01-02
735237,145.73,0.503773898555868,0.164688121869216,2013-01-03
735238,146.37,0.509388539477647,-0.355264056842256,2013-01-04
735241,145.97,0.562054473874311,-0.1781187915325,2013-01-07
735242,145.55,0.550930794424501,0.219855719683953,2013-01-08
735243,145.92,0.542955100680924,0.555098684210528,2013-01-09
735244,147.08,0.501940188636974,-0.0271960837639519,2013-01-10
735245,147.07,0.527786538083347,-0.122390698306933,2013-01-11
735248,146.97,0.521707828295249,-0.462679458392874,2013-01-14
735249,147.07,0.557234306727596,-0.203984497178203,2013-01-15
735250,147.05,0.565709310840631,0.44202652159128,2013-01-16
735251,148,0.532533293537087,-0.020270270270271,2013-01-17
735252,148.33,0.553305013177554,0,2013-01-18
735256,149.13,0.541592062990909,0,2013-01-22
735257,149.37,0.54691244045262,-0.147285264778737,2013-01-23
735258,149.41,0.556943338853216,0.314570644535171,2013-01-24
735259,150.25,0.53333997230962,0.0266222961730396,2013-01-25
735262,150.07,0.555875037114428,-0.199906710201894,2013-01-28
735263,150.66,0.562970590656767,-0.0132749236691957,2013-01-29
735264,150.07,0.571916149194264,-0.119944026121148,2013-01-30
735265,149.7,0.584894921220794,0.634602538410165,2013-01-31
735266,151.24,0.535760938192588,-0.608304681301254,2013-02-01
735269,149.54,0.616506916309867,0.541661094021668,2013-02-04
735270,151.05,0.544311726978771,-0.350877192982457,2013-02-05
735271,151.16,0.598683997512434,0.0330775337390919,2013-02-06
735272,150.96,0.566856756595301,0.17223105458399,2013-02-07
735273,151.8,0.576524362947375,-0.0395256916996062,2013-02-08
735276,151.77,0.580346063107798,0.00658891744085847,2013-02-11
735277,152.02,0.57871138945118,0.203920536771479,2013-02-12
735278,152.15,0.569385998075875,-0.302333223792315,2013-02-13
735279,152.29,0.596755665617093,0.0919298706415489,2013-02-14
735280,152.11,0.596147264776438,0.170928933009001,2013-02-15
735284,153.25,0.568426111255547,-0.0717781402936467,2013-02-19
735285,151.34,0.614220815124744,-0.251090260340951,2013-02-20
735286,150.42,0.629697931004095,0.485307804813202,2013-02-21
735287,151.89,0.580265614890367,0.487194680360793,2013-02-22
735290,149,0.598203915823707,0.483221476510066,2013-02-25
735291,150.02,0.585364206717376,-0.0866551126516624,2013-02-26
735292,151.91,0.589269936357167,-0.00658284510564868,2013-02-27
735293,151.61,0.566273913158875,-0.342985291207711,2013-02-28
735294,152.11,0.606275532451923,-0.230096640589062,2013-03-01
735297,152.92,0.594726512646472,0.483913157206388,2013-03-04
735298,154.29,0.544457441717635,0.35647157949317,2013-03-05
735299,154.5,0.551558954762313,0.129449838187695,2013-03-06
735300,154.78,0.561183025218939,0.439333247189564,2013-03-07
735301,155.44,0.556472069830311,-0.0772002058672186,2013-03-08
735304,156.03,0.572166659456691,-0.0704992629622596,2013-03-11
735305,155.68,0.586429961053554,0.0513874614593937,2013-03-12
735306,155.9,0.592029706918935,0.262989095574084,2013-03-13
735307,156.73,0.574553892392625,-0.561475148344283,2013-03-14
735308,155.83,0.627525053589462,-0.956170185458518,2013-03-15
735311,154.97,0.667398353990709,0.212944440859529,2013-03-18
735312,154.61,0.626266660872362,0.588577711661598,2013-03-19
735313,155.69,0.586875673358627,-0.597340869676926,2013-03-20
735314,154.36,0.655448775051471,0.317439751230876,2013-03-21
735315,155.6,0.595754842368153,0.263496143958867,2013-03-22
735318,154.95,0.608649594541701,0.413036463375292,2013-03-25
735319,156.19,0.574103230758435,-0.595428644599531,2013-03-26
735320,156.19,0.642011085666796,-0.0640245854408056,2013-03-27
735321,156.67,0.600665115817641,-0.0510627433458761,2013-03-28
735325,156.05,0.615980101505221,0.358859339955144,2013-04-01
735326,156.82,0.585876377890562,0.0573906389491158,2013-04-02
735327,155.23,0.620603535179098,0.128841074534573,2013-04-03
735328,155.86,0.615423230246334,-1.2254587450276,2013-04-04
735329,155.16,0.688865090364693,0.070894560453734,2013-04-05
735332,156.21,0.603805636564592,0.185647525766591,2013-04-08
735333,156.75,0.596379282409908,0.267942583732049,2013-04-09
735334,158.67,0.560886535574383,0.0189071658158449,2013-04-10
735335,159.19,0.57633263531952,-0.32037188265594,2013-04-11
735336,158.8,0.603343584946157,-0.503778337531493,2013-04-12
