ydatestr,ydate,cp
1950-01-03,712226,16.66
1950-01-04,712227,16.85
1950-01-05,712228,16.93
1950-01-06,712229,16.98
1950-01-09,712232,17.08
1950-01-10,712233,17.03
1950-01-11,712234,17.09
1950-01-12,712235,16.76
1950-01-13,712236,16.67
1950-01-16,712239,16.72
1950-01-17,712240,16.86
1950-01-18,712241,16.85
1950-01-19,712242,16.87
1950-01-20,712243,16.9
1950-01-23,712246,16.92
1950-01-24,712247,16.86
1950-01-25,712248,16.74
1950-01-26,712249,16.73
1950-01-27,712250,16.82
1950-01-30,712253,17.02
1950-01-31,712254,17.05
1950-02-01,712255,17.05
1950-02-02,712256,17.23
1950-02-03,712257,17.29
1950-02-06,712260,17.32
1950-02-07,712261,17.23
1950-02-08,712262,17.21
1950-02-09,712263,17.28
1950-02-10,712264,17.24
1950-02-14,712268,17.06
1950-02-15,712269,17.06
1950-02-16,712270,16.99
1950-02-17,712271,17.15
1950-02-20,712274,17.2
1950-02-21,712275,17.17
1950-02-23,712277,17.21
1950-02-24,712278,17.28
1950-02-27,712281,17.28
1950-02-28,712282,17.22
1950-03-01,712283,17.24
1950-03-02,712284,17.23
1950-03-03,712285,17.29
1950-03-06,712288,17.32
1950-03-07,712289,17.2
1950-03-08,712290,17.19
1950-03-09,712291,17.07
1950-03-10,712292,17.09
1950-03-13,712295,17.12
1950-03-14,712296,17.25
1950-03-15,712297,17.45
1950-03-16,712298,17.49
1950-03-17,712299,17.45
1950-03-20,712302,17.44
1950-03-21,712303,17.45
1950-03-22,712304,17.55
1950-03-23,712305,17.56
1950-03-24,712306,17.56
1950-03-27,712309,17.46
1950-03-28,712310,17.53
1950-03-29,712311,17.44
1950-03-30,712312,17.3
1950-03-31,712313,17.29
1950-04-03,712316,17.53
1950-04-04,712317,17.55
1950-04-05,712318,17.63
1950-04-06,712319,17.78
1950-04-10,712323,17.85
1950-04-11,712324,17.75
1950-04-12,712325,17.94
1950-04-13,712326,17.98
1950-04-14,712327,17.96
1950-04-17,712330,17.88
1950-04-18,712331,18.03
1950-04-19,712332,18.05
1950-04-20,712333,17.93
1950-04-21,712334,17.96
1950-04-24,712337,17.83
1950-04-25,712338,17.83
1950-04-26,712339,17.76
1950-04-27,712340,17.86
1950-04-28,712341,17.96
1950-05-01,712344,18.22
1950-05-02,712345,18.11
1950-05-03,712346,18.27
1950-05-04,712347,18.12
1950-05-05,712348,18.22
1950-05-08,712351,18.27
1950-05-09,712352,18.27
1950-05-10,712353,18.29
1950-05-11,712354,18.29
1950-05-12,712355,18.18
1950-05-15,712358,18.26
