ydate,cp,upprob1,upprob2,pctg,ydatestr
735579,178.72,0.489648865008973,0.570888816821619,-1.16137595398739,2013-12-11
735580,178.13,0.523711493886358,0.590990552922777,-0.285490371697263,2013-12-12
735581,178.11,0.504820981181937,0.578526690813775,-0.218487394957976,2013-12-13
735584,179.22,0.527214817235414,0.566235830633162,0.15088013411568,2013-12-16
735585,178.65,0.527354171154638,0.554438863633549,-0.406957297357559,2013-12-17
735586,181.7,0.524767472847552,0.556352099745623,1.55376704672479,2013-12-18
735587,181.49,0.469845707607098,0.533938556918047,0.171100562976047,2013-12-19
735588,181.56,0.49971394865786,0.514762521063757,0.481487630748799,2013-12-20
735591,182.53,0.454822503933004,0.565697064679945,0.0438476294875377,2013-12-23
735592,182.93,0.508424125190227,0.560039331343427,0.2136518023447,2013-12-24
735594,183.86,0.486522256909618,0.548980463694587,0.283626049961825,2013-12-26
735595,183.85,0.494388744076112,0.546468600985398,-0.135795763172189,2013-12-27
735598,183.82,0.501643031275631,0.541558190769092,-0.0271931255778601,2013-12-30
735599,184.69,0.489651306434649,0.541426528746551,0.336828380507418,2013-12-31
735601,182.92,0.499767787570724,0.528938808560217,-0.576149581476249,2014-01-02
735602,182.89,0.5058371984461,0.546551016794451,-0.185559133329697,2014-01-03
735605,182.36,0.50401557883627,0.587279493989417,-0.615837375333803,2014-01-06
735606,183.48,0.532372456150142,0.582517711629247,0.213009995084377,2014-01-07
735607,183.52,0.509789323288414,0.564090753686728,0.0381575361133942,2014-01-08
735608,183.64,0.510581518618375,0.543599728606247,-0.255282168268984,2014-01-09
735609,184.14,0.508729945921977,0.572567143217061,0.103288937211197,2014-01-10
735612,181.69,0.507559806403129,0.549330033462681,-1.07802036260684,2014-01-13
735613,183.67,0.517208634558025,0.562339046602402,0.757035492895933,2014-01-14
735614,184.66,0.490350982428399,0.55859348640951,0.304182509505705,2014-01-15
735615,184.42,0.524907662145559,0.518419749810884,0.0759713479487662,2014-01-16
735616,183.64,0.494343020628681,0.544740321272049,-0.249864204236832,2014-01-17
735620,184.18,0.494195776537538,0.570888495773716,-0.281537628586888,2014-01-21
735621,184.3,0.512364712274423,0.575012952151166,-0.102986611740472,2014-01-22
735622,182.79,0.5222915314411,0.527216243638024,-0.316300376288385,2014-01-23
735623,178.89,0.512504820965788,0.517356586753822,-1.49229074889868,2014-01-24
735626,178.01,0.530115717409912,0.561993719232972,-0.586395621579365,2014-01-27
735627,179.07,0.536589754845084,0.571860896722694,0.522061300101048,2014-01-28
735628,177.35,0.548868661335778,0.471160984436617,-0.129519089987621,2014-01-29
735629,179.23,0.519184676048576,0.519714656916959,0.223676116982596,2014-01-30
735630,178.18,0.555613473996965,0.515900980195494,0.660979605672005,2014-01-31
735633,174.17,0.492199551546438,0.463891024666443,-2.13519132438052,2014-02-03
735634,175.39,0.547965903237628,0.578800877948535,0.251500428693911,2014-02-04
735635,175.17,0.537103476973267,0.527671441119783,0.223137658771019,2014-02-05
735636,177.48,0.537393601016591,0.477540823681413,1.08212780498917,2014-02-06
735637,179.68,0.507327794887603,0.517251867000571,0.768324827547532,2014-02-07
735640,180.01,0.523180071273632,0.496121630202481,0.172509738452978,2014-02-10
735641,181.98,0.487722764341124,0.523996693418055,1.01021314387211,2014-02-11
735642,182.07,0.465221771415957,0.540455240279395,-0.0987654320987692,2014-02-12
735643,183.01,0.502989626790656,0.514520088444973,1.19995576199955,2014-02-13
735644,184.02,0.447951935725689,0.514169701083871,0.645373003719102,2014-02-14
735648,184.24,0.482344818299277,0.523009620188464,0.0325768270170498,2014-02-18
735649,183.02,0.499058989098877,0.509636849980137,-0.402699172834121,2014-02-19
735650,184.1,0.50154877418026,0.532158430208993,0.452883723468098,2014-02-20
735651,183.89,0.491075125247344,0.535159496683269,-0.30360531309298,2014-02-21
735654,184.91,0.524832674706491,0.530579900548978,0.341871065769479,2014-02-24
735655,184.84,0.505850473657427,0.543217893217755,-0.118880363125472,2014-02-25
735656,184.85,0.519381078997396,0.541899630270384,-0.140457025552385,2014-02-26
735657,185.82,0.511529528308851,0.560934033997595,0.671795427456919,2014-02-27
735658,186.29,0.495037520938375,0.519163432111785,0.269121050648582,2014-02-28
735661,184.98,0.514842425601606,0.498474221677639,0.178716490657993,2014-03-03
735662,187.58,0.472286776955967,0.553527899143553,0.422934846619209,2014-03-04
735663,187.75,0.518103813152662,0.585288928711205,0.00532651539362464,2014-03-05
735664,188.18,0.515340403314351,0.554497452066045,-0.0159396418893795,2014-03-06
735665,188.26,0.495581478764108,0.6027162314067,-0.370448772226935,2014-03-07
735668,188.16,0.522746892216962,0.572026255287236,0.101079959568015,2014-03-10
735669,187.23,0.488456579026268,0.564275505777125,-0.642114200806627,2014-03-11
735670,187.28,0.53090177703191,0.549751337732734,0.515242593387724,2014-03-12
735671,185.18,0.4820269782494,0.537931577964253,-1.41609880749574,2014-03-13
735672,184.66,0.557212469452348,0.553466450672182,-0.102786042737353,2014-03-14
735675,186.33,0.506039385045097,0.550238167469596,0.398728379761845,2014-03-17
735676,187.66,0.524938262260047,0.530685236247207,0.508810454715863,2014-03-18
735677,186.66,0.513486985447823,0.519140950546277,-0.543478260869571,2014-03-19
735678,187.75,0.522084302334613,0.540437639660344,0.805369127516778,2014-03-20
735679,186.2,0.473169905038479,0.534839320223914,-0.804432369079974,2014-03-21
735682,185.43,0.520654491806285,0.55461256299278,-0.754656390494539,2014-03-24
