algo,close_price_date,prediction,pct_gain
gbm,1975-01-02,0.0000,0.68
gbm,1975-01-03,0.0000,0.51
gbm,1975-01-06,1.0000,-0.07
gbm,1975-01-07,1.0000,-1.38
gbm,1975-01-08,0.0000,1.61
gbm,1975-01-09,1.0000,2.02
gbm,1975-01-10,1.0000,-0.41
gbm,1975-01-13,0.0000,-0.87
gbm,1975-01-14,0.0000,0.64
gbm,1975-01-15,1.0000,-0.12
gbm,1975-01-16,0.0000,-1.51
gbm,1975-01-17,0.0000,0.17
gbm,1975-01-20,1.0000,-0.53
gbm,1975-01-21,0.0000,1.47
gbm,1975-01-22,1.0000,0.46
gbm,1975-01-23,1.0000,1.26
gbm,1975-01-24,0.0000,3.27
gbm,1975-01-27,1.0000,0.88
gbm,1975-01-28,1.0000,1.62
gbm,1975-01-29,0.0000,-1.36
gbm,1975-01-30,1.0000,1.01
gbm,1975-01-31,1.0000,1.09
gbm,1975-02-03,1.0000,-0.27
gbm,1975-02-04,0.0000,1.73
gbm,1975-02-05,0.0000,-0.49
gbm,1975-02-06,0.0000,0.09
gbm,1975-02-07,0.0000,-0.34
gbm,1975-02-10,0.0000,0.28
gbm,1975-02-11,1.0000,1.71
gbm,1975-02-12,0.0000,1.36
gbm,1975-02-13,0.0000,0.60
gbm,1975-02-14,0.0000,-0.70
gbm,1975-02-18,0.0000,0.63
gbm,1975-02-19,0.0000,0.95
gbm,1975-02-20,0.0000,0.50
gbm,1975-02-21,0.0000,-1.43
gbm,1975-02-24,0.0000,-2.35
gbm,1975-02-25,0.0000,1.06
gbm,1975-02-26,1.0000,0.50
gbm,1975-02-27,0.0000,1.02
gbm,1975-02-28,0.0000,1.76
gbm,1975-03-03,0.0000,0.64
gbm,1975-03-04,0.0000,0.41
gbm,1975-03-05,0.0000,-0.25
gbm,1975-03-06,0.0000,0.73
gbm,1975-03-07,0.0000,0.77
gbm,1975-03-10,0.0000,-0.69
gbm,1975-03-11,0.0000,-0.91
gbm,1975-03-12,0.0000,0.18
gbm,1975-03-13,0.0000,1.22
gbm,1975-03-14,0.0000,1.47
gbm,1975-03-17,0.0000,-1.02
gbm,1975-03-18,0.0000,-0.93
gbm,1975-03-19,0.0000,-0.87
gbm,1975-03-20,0.0000,-0.26
gbm,1975-03-21,0.0000,-2.36
gbm,1975-03-24,0.0000,0.79
gbm,1975-03-25,1.0000,1.86
gbm,1975-03-26,0.0000,0.31
gbm,1975-03-27,1.0000,-0.58
gbm,1975-03-31,0.0000,-0.86
gbm,1975-04-01,1.0000,-0.25
gbm,1975-04-02,1.0000,-1.12
gbm,1975-04-03,0.0000,-0.77
gbm,1975-04-04,0.0000,-0.66
gbm,1975-04-07,1.0000,0.80
gbm,1975-04-08,1.0000,2.28
gbm,1975-04-09,1.0000,1.12
gbm,1975-04-10,1.0000,0.49
gbm,1975-04-11,0.0000,1.69
gbm,1975-04-14,0.0000,0.82
gbm,1975-04-15,0.0000,0.35
gbm,1975-04-16,0.0000,0.75
gbm,1975-04-17,0.0000,-1.09
gbm,1975-04-18,0.0000,1.08
gbm,1975-04-21,0.0000,-0.16
gbm,1975-04-22,0.0000,-1.11
gbm,1975-04-23,0.0000,-0.09
gbm,1975-04-24,0.0000,0.67
gbm,1975-04-25,0.0000,-0.45
gbm,1975-04-28,0.0000,-0.68
gbm,1975-04-29,0.0000,1.94
gbm,1975-04-30,1.0000,0.92
gbm,1975-05-01,0.0000,1.27
gbm,1975-05-02,0.0000,0.96
gbm,1975-05-05,0.0000,-1.60
gbm,1975-05-06,0.0000,0.50
gbm,1975-05-07,0.0000,0.54
gbm,1975-05-08,0.0000,1.08
gbm,1975-05-09,0.0000,0.09
gbm,1975-05-12,0.0000,1.07
gbm,1975-05-13,0.0000,0.75
gbm,1975-05-14,0.0000,-0.93
gbm,1975-05-15,0.0000,-1.07
gbm,1975-05-16,0.0000,0.11
gbm,1975-05-19,1.0000,-0.51
gbm,1975-05-20,0.0000,-1.12
gbm,1975-05-21,0.0000,0.37
gbm,1975-05-22,1.0000,1.33
gbm,1975-05-23,0.0000,-0.26
gbm,1975-05-27,0.0000,-0.70
gbm,1975-05-28,0.0000,-0.03
gbm,1975-05-29,1.0000,1.64
gbm,1975-05-30,1.0000,1.57
gbm,1975-06-02,1.0000,0.33
gbm,1975-06-03,1.0000,-0.31
gbm,1975-06-04,0.0000,0.10
gbm,1975-06-05,1.0000,-0.23
gbm,1975-06-06,0.0000,-1.37
gbm,1975-06-09,1.0000,-0.84
gbm,1975-06-10,1.0000,0.12
gbm,1975-06-11,1.0000,-0.52
gbm,1975-06-12,0.0000,0.49
gbm,1975-06-13,1.0000,1.04
gbm,1975-06-16,1.0000,-0.96
gbm,1975-06-17,0.0000,-0.21
gbm,1975-06-18,1.0000,1.80
gbm,1975-06-19,1.0000,0.64
gbm,1975-06-20,1.0000,1.09
gbm,1975-06-23,1.0000,0.61
gbm,1975-06-24,1.0000,0.46
gbm,1975-06-25,1.0000,0.20
gbm,1975-06-26,1.0000,0.00
gbm,1975-06-27,0.0000,0.40
gbm,1975-06-30,1.0000,-0.36
gbm,1975-07-01,0.0000,-0.71
gbm,1975-07-02,1.0000,0.19
gbm,1975-07-03,1.0000,-0.87
gbm,1975-07-07,0.0000,-0.16
gbm,1975-07-08,1.0000,1.51
gbm,1975-07-09,1.0000,0.01
gbm,1975-07-10,1.0000,-0.16
gbm,1975-07-11,0.0000,0.56
gbm,1975-07-14,1.0000,0.44
gbm,1975-07-15,1.0000,-1.05
gbm,1975-07-16,0.0000,-1.04
gbm,1975-07-17,0.0000,-0.46
gbm,1975-07-18,0.0000,-0.82
gbm,1975-07-21,0.0000,-1.07
gbm,1975-07-22,1.0000,-1.39
gbm,1975-07-23,1.0000,-0.12
gbm,1975-07-24,1.0000,-0.87
gbm,1975-07-25,0.0000,-0.67
gbm,1975-07-28,1.0000,-0.56
gbm,1975-07-29,0.0000,0.73
gbm,1975-07-30,1.0000,-0.09
gbm,1975-07-31,0.0000,-0.86
gbm,1975-08-01,0.0000,-0.95
gbm,1975-08-04,0.0000,-1.06
gbm,1975-08-05,0.0000,0.02
gbm,1975-08-06,0.0000,0.06
gbm,1975-08-07,0.0000,-0.32
gbm,1975-08-08,0.0000,0.62
gbm,1975-08-11,1.0000,0.66
gbm,1975-08-12,0.0000,-1.32
gbm,1975-08-13,0.0000,-0.43
gbm,1975-08-14,0.0000,0.89
gbm,1975-08-15,1.0000,-0.19
gbm,1975-08-18,0.0000,-1.45
gbm,1975-08-19,0.0000,-2.04
gbm,1975-08-20,0.0000,-0.18
gbm,1975-08-21,0.0000,1.46
gbm,1975-08-22,0.0000,0.93
gbm,1975-08-25,1.0000,-1.29
gbm,1975-08-26,0.0000,0.56
gbm,1975-08-27,1.0000,2.33
gbm,1975-08-28,1.0000,0.56
gbm,1975-08-29,0.0000,-1.61
gbm,1975-09-02,0.0000,0.64
gbm,1975-09-03,1.0000,0.20
gbm,1975-09-04,1.0000,-0.67
gbm,1975-09-05,0.0000,0.32
gbm,1975-09-08,1.0000,-1.50
gbm,1975-09-09,0.0000,-0.96
gbm,1975-09-10,0.0000,-0.41
gbm,1975-09-11,1.0000,-0.18
gbm,1975-09-12,0.0000,-0.50
gbm,1975-09-15,1.0000,-0.95
gbm,1975-09-16,1.0000,0.34
gbm,1975-09-17,1.0000,2.05
gbm,1975-09-18,1.0000,2.17
gbm,1975-09-19,0.0000,-0.94
gbm,1975-09-22,0.0000,-0.15
gbm,1975-09-23,0.0000,0.94
gbm,1975-09-24,1.0000,-0.12
gbm,1975-09-25,0.0000,0.64
gbm,1975-09-26,1.0000,-1.35
gbm,1975-09-29,0.0000,-1.36
gbm,1975-09-30,0.0000,-1.12
gbm,1975-10-01,0.0000,1.07
gbm,1975-10-02,1.0000,2.54
gbm,1975-10-03,0.0000,1.08
gbm,1975-10-06,1.0000,-0.13
gbm,1975-10-07,0.0000,1.35
gbm,1975-10-08,1.0000,0.49
gbm,1975-10-09,1.0000,-0.18
gbm,1975-10-10,0.0000,1.42
gbm,1975-10-13,1.0000,-0.20
gbm,1975-10-14,0.0000,-0.06
gbm,1975-10-15,0.0000,0.16
gbm,1975-10-16,1.0000,-0.57
gbm,1975-10-17,0.0000,1.08
gbm,1975-10-20,1.0000,0.82
gbm,1975-10-21,1.0000,0.17
gbm,1975-10-22,1.0000,0.58
gbm,1975-10-23,1.0000,-1.55
gbm,1975-10-24,0.0000,-0.11
gbm,1975-10-27,1.0000,0.87
gbm,1975-10-28,1.0000,-1.24
gbm,1975-10-29,0.0000,-0.09
gbm,1975-10-30,1.0000,-0.30
gbm,1975-10-31,0.0000,-1.07
gbm,1975-11-03,0.0000,0.48
gbm,1975-11-04,1.0000,0.72
gbm,1975-11-05,1.0000,0.45
gbm,1975-11-06,1.0000,-0.25
gbm,1975-11-07,0.0000,0.01
gbm,1975-11-10,1.0000,0.59
gbm,1975-11-11,1.0000,1.47
gbm,1975-11-12,1.0000,-0.16
gbm,1975-11-13,1.0000,-0.08
gbm,1975-11-14,0.0000,0.54
gbm,1975-11-17,1.0000,-0.50
gbm,1975-11-18,0.0000,-1.12
gbm,1975-11-19,0.0000,-0.38
gbm,1975-11-20,1.0000,-0.12
gbm,1975-11-21,0.0000,0.19
gbm,1975-11-24,1.0000,1.13
gbm,1975-11-25,1.0000,0.25
gbm,1975-11-26,1.0000,0.33
gbm,1975-11-28,0.0000,-0.62
gbm,1975-12-01,0.0000,-1.48
gbm,1975-12-02,0.0000,-1.94
gbm,1975-12-03,0.0000,0.27
gbm,1975-12-04,1.0000,-1.16
gbm,1975-12-05,0.0000,0.29
gbm,1975-12-08,1.0000,0.26
gbm,1975-12-09,0.0000,0.89
gbm,1975-12-10,1.0000,-0.32
gbm,1975-12-11,0.0000,0.03
gbm,1975-12-12,1.0000,0.30
gbm,1975-12-15,1.0000,0.95
gbm,1975-12-16,1.0000,0.25
gbm,1975-12-17,1.0000,0.31
gbm,1975-12-18,1.0000,-0.70
gbm,1975-12-19,0.0000,-0.74
gbm,1975-12-22,0.0000,0.67
gbm,1975-12-23,1.0000,0.82
gbm,1975-12-24,1.0000,0.88
gbm,1975-12-26,1.0000,-0.13
gbm,1975-12-29,0.0000,-0.40
gbm,1975-12-30,1.0000,0.47
gbm,1975-12-31,1.0000,0.79
gbm,1976-01-02,1.0000,1.85
gbm,1976-01-05,1.0000,1.03
gbm,1976-01-06,1.0000,0.45
gbm,1976-01-07,1.0000,0.67
gbm,1976-01-08,1.0000,0.39
gbm,1976-01-09,0.0000,1.45
gbm,1976-01-12,1.0000,-0.79
gbm,1976-01-13,0.0000,1.63
gbm,1976-01-14,1.0000,-0.54
gbm,1976-01-15,0.0000,0.40
gbm,1976-01-16,1.0000,1.36
gbm,1976-01-19,1.0000,0.55
gbm,1976-01-20,1.0000,-0.63
gbm,1976-01-21,0.0000,-0.20
gbm,1976-01-22,1.0000,1.19
gbm,1976-01-23,1.0000,0.47
gbm,1976-01-26,1.0000,-0.61
gbm,1976-01-27,0.0000,-0.55
gbm,1976-01-28,1.0000,1.60
gbm,1976-01-29,1.0000,0.75
gbm,1976-01-30,1.0000,0.01
gbm,1976-02-02,1.0000,0.31
gbm,1976-02-03,1.0000,0.72
gbm,1976-02-04,1.0000,-1.49
gbm,1976-02-05,0.0000,-0.93
gbm,1976-02-06,0.0000,0.16
gbm,1976-02-09,1.0000,0.85
gbm,1976-02-10,1.0000,0.30
gbm,1976-02-11,0.0000,-0.52
gbm,1976-02-12,0.0000,-0.58
gbm,1976-02-13,1.0000,-0.62
gbm,1976-02-17,1.0000,0.81
