algo,ydate,probup,pctgain,holding_period
ab,2000-01-03,0.465941547195011,-3.8300,1day
ab,2000-01-04,0.439364087538502,0.1900,1day
ab,2000-01-05,0.54656212954741,0.1000,1day
ab,2000-01-06,0.538821938804715,2.7100,1day
ab,2000-01-07,0.555294908327457,1.1200,1day
ab,2000-01-10,0.512375950582506,-1.3100,1day
ab,2000-01-11,0.466511221607476,-0.4400,1day
ab,2000-01-12,0.515195467284183,1.2200,1day
ab,2000-01-13,0.55401374909706,1.0700,1day
ab,2000-01-14,0.525078173750687,-0.6800,1day
ab,2000-01-18,0.461963102647141,0.0500,1day
ab,2000-01-19,0.496496086647267,-0.7100,1day
ab,2000-01-20,0.496982059994278,-0.2900,1day
ab,2000-01-21,0.510505609887671,-2.7600,1day
ab,2000-01-24,0.488749014781345,0.6100,1day
ab,2000-01-25,0.555021333756883,-0.4200,1day
ab,2000-01-26,0.529905598659564,-0.3900,1day
ab,2000-01-27,0.493371304196588,-2.7500,1day
ab,2000-01-28,0.498623822706973,2.5200,1day
ab,2000-01-31,0.584353137520125,1.0600,1day
ab,2000-02-01,0.556072751822336,-0.0100,1day
ab,2000-02-02,0.470327248859104,1.1200,1day
ab,2000-02-03,0.52733122537661,-0.0400,1day
ab,2000-02-04,0.488769015191071,-0.0100,1day
ab,2000-02-07,0.484636711266402,1.2300,1day
ab,2000-02-08,0.526743030634489,-2.0800,1day
ab,2000-02-09,0.429466366949069,0.3600,1day
ab,2000-02-10,0.501892508589372,-2.1000,1day
ab,2000-02-11,0.475269505728712,0.2000,1day
ab,2000-02-14,0.538502600961417,0.8700,1day
ab,2000-02-15,0.542704776864533,-1.0300,1day
ab,2000-02-16,0.497776311167839,0.0400,1day
ab,2000-02-17,0.522724952231288,-3.0400,1day
ab,2000-02-18,0.499892594535817,0.4500,1day
ab,2000-02-22,0.533397249346578,0.6300,1day
ab,2000-02-23,0.578025038538509,-0.5300,1day
ab,2000-02-24,0.517303239698802,-1.4800,1day
ab,2000-02-25,0.519379431249401,1.1000,1day
ab,2000-02-28,0.548047424815662,1.3600,1day
ab,2000-02-29,0.54923747546956,0.9300,1day
ab,2000-03-01,0.528503801799611,0.1900,1day
ab,2000-03-02,0.506020714371159,1.9800,1day
ab,2000-03-03,0.536905758276334,-1.2700,1day
ab,2000-03-06,0.436543928192679,-2.5600,1day
ab,2000-03-07,0.466489893341521,0.8200,1day
ab,2000-03-08,0.546049662002635,2.5600,1day
ab,2000-03-09,0.55633755632975,-0.4700,1day
ab,2000-03-10,0.456122591897023,-0.8200,1day
ab,2000-03-13,0.456680745723761,-1.7700,1day
ab,2000-03-14,0.505996135554276,2.4300,1day
ab,2000-03-15,0.554599738230243,4.7600,1day
ab,2000-03-16,0.614222028334056,0.4100,1day
ab,2000-03-17,0.43140260654869,-0.5400,1day
ab,2000-03-20,0.442675132584887,2.5600,1day
ab,2000-03-21,0.522606024965968,0.4500,1day
ab,2000-03-22,0.454413853078063,1.7800,1day
ab,2000-03-23,0.488417155450554,0.0100,1day
ab,2000-03-24,0.445993857107332,-0.2400,1day
ab,2000-03-27,0.450689067926088,-1.0600,1day
ab,2000-03-28,0.463841721619743,0.0500,1day
ab,2000-03-29,0.470777594549982,-1.3700,1day
ab,2000-03-30,0.500068163790547,0.7200,1day
ab,2000-03-31,0.523203254886148,0.4900,1day
ab,2000-04-03,0.514390240776032,-0.7500,1day
ab,2000-04-04,0.502089256382862,-0.4900,1day
ab,2000-04-05,0.513773831805957,0.9400,1day
ab,2000-04-06,0.553410720125198,1.0000,1day
ab,2000-04-07,0.539989646330018,-0.7800,1day
ab,2000-04-10,0.493356339146193,-0.2600,1day
ab,2000-04-11,0.497070410530947,-2.2300,1day
